"year","month","day","dep_time","sched_dep_time","dep_delay","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","distance","hour","minute","time_hour"
2013,1,1,629,630,-1,833,"Not Delay","US",1019,"N426US","EWR","CLT",529,6,30,2013-01-01 06:00:00
2013,1,1,643,645,-2,848,"Not Delay","US",926,"N178US","EWR","CLT",529,6,45,2013-01-01 06:00:00
2013,1,1,811,815,-4,1016,"Delay","US",675,"N654AW","EWR","CLT",529,8,15,2013-01-01 08:00:00
2013,1,1,1010,1015,-5,1210,"Not Delay","US",1103,"N162UW","EWR","CLT",529,10,15,2013-01-01 10:00:00
2013,1,1,1211,1215,-4,1413,"Delay","EV",4135,"N21537","EWR","CLT",529,12,15,2013-01-01 12:00:00
2013,1,1,1314,1315,-1,1505,"Not Delay","US",1615,"N177US","EWR","CLT",529,13,15,2013-01-01 13:00:00
2013,1,1,1457,1500,-3,1656,"Not Delay","US",720,"N539UW","EWR","CLT",529,15,0,2013-01-01 15:00:00
2013,1,1,1513,1505,8,1703,"Delay","EV",4223,"N13914","EWR","CLT",529,15,5,2013-01-01 15:00:00
2013,1,1,1725,1730,-5,1926,"Not Delay","US",449,"N680AW","EWR","CLT",529,17,30,2013-01-01 17:00:00
2013,1,1,1825,1829,-4,2032,"Delay","US",1973,"N460UW","EWR","CLT",529,18,29,2013-01-01 18:00:00
2013,1,1,1919,1900,19,2107,"Delay","EV",3267,"N14558","EWR","CLT",529,19,0,2013-01-01 19:00:00
2013,1,2,458,500,-2,650,"Delay","US",1030,"N162UW","EWR","CLT",529,5,0,2013-01-02 05:00:00
2013,1,2,626,630,-4,833,"Delay","US",1019,"N445US","EWR","CLT",529,6,30,2013-01-02 06:00:00
2013,1,2,647,645,2,848,"Delay","US",926,"N565UW","EWR","CLT",529,6,45,2013-01-02 06:00:00
2013,1,2,700,630,30,840,"Delay","EV",4471,"N17984","EWR","CLT",529,6,30,2013-01-02 06:00:00
2013,1,2,808,815,-7,1016,"Not Delay","US",675,"N656AW","EWR","CLT",529,8,15,2013-01-02 08:00:00
2013,1,2,1014,1015,-1,1210,"Not Delay","US",1103,"N560UW","EWR","CLT",529,10,15,2013-01-02 10:00:00
2013,1,2,1307,1315,-8,1505,"Delay","US",1615,"N543UW","EWR","CLT",529,13,15,2013-01-02 13:00:00
2013,1,2,1340,1229,71,1427,"Delay","EV",4135,"N31131","EWR","CLT",529,12,29,2013-01-02 12:00:00
2013,1,2,1458,1500,-2,1656,"Not Delay","US",720,"N180US","EWR","CLT",529,15,0,2013-01-02 15:00:00
2013,1,2,1727,1730,-3,1926,"Not Delay","US",449,"N668AW","EWR","CLT",529,17,30,2013-01-02 17:00:00
2013,1,2,1827,1829,-2,2032,"Not Delay","US",1973,"N449US","EWR","CLT",529,18,29,2013-01-02 18:00:00
2013,1,2,1935,1856,39,2103,"Delay","EV",4153,"N12922","EWR","CLT",529,18,56,2013-01-02 18:00:00
2013,1,3,458,500,-2,650,"Not Delay","US",1030,"N172US","EWR","CLT",529,5,0,2013-01-03 05:00:00
2013,1,3,626,630,-4,833,"Not Delay","US",1019,"N438US","EWR","CLT",529,6,30,2013-01-03 06:00:00
2013,1,3,628,630,-2,845,"Delay","EV",3849,"N14558","EWR","CLT",529,6,30,2013-01-03 06:00:00
2013,1,3,643,645,-2,848,"Delay","US",926,"N560UW","EWR","CLT",529,6,45,2013-01-03 06:00:00
2013,1,3,814,815,-1,1016,"Delay","US",675,"N680AW","EWR","CLT",529,8,15,2013-01-03 08:00:00
2013,1,3,1017,1015,2,1210,"Not Delay","US",1103,"N561UW","EWR","CLT",529,10,15,2013-01-03 10:00:00
2013,1,3,1227,1230,-3,1427,"Not Delay","EV",4135,"N12126","EWR","CLT",529,12,30,2013-01-03 12:00:00
2013,1,3,1310,1315,-5,1505,"Not Delay","US",1615,"N163US","EWR","CLT",529,13,15,2013-01-03 13:00:00
2013,1,3,1455,1500,-5,1657,"Delay","EV",4326,"N12567","EWR","CLT",529,15,0,2013-01-03 15:00:00
2013,1,3,1456,1500,-4,1656,"Delay","US",720,"N197UW","EWR","CLT",529,15,0,2013-01-03 15:00:00
2013,1,3,1724,1730,-6,1926,"Not Delay","US",449,"N648AW","EWR","CLT",529,17,30,2013-01-03 17:00:00
2013,1,3,1822,1829,-7,2032,"Not Delay","US",1973,"N406US","EWR","CLT",529,18,29,2013-01-03 18:00:00
2013,1,3,1859,1904,-5,2109,"Not Delay","EV",4627,"N13969","EWR","CLT",529,19,4,2013-01-03 19:00:00
2013,1,4,456,500,-4,650,"Not Delay","US",1030,"N186US","EWR","CLT",529,5,0,2013-01-04 05:00:00
2013,1,4,616,630,-14,833,"Not Delay","US",1019,"N420US","EWR","CLT",529,6,30,2013-01-04 06:00:00
2013,1,4,629,630,-1,845,"Delay","EV",4471,"N34110","EWR","CLT",529,6,30,2013-01-04 06:00:00
2013,1,4,640,645,-5,848,"Delay","US",926,"N169UW","EWR","CLT",529,6,45,2013-01-04 06:00:00
2013,1,4,810,815,-5,1016,"Not Delay","US",675,"N649AW","EWR","CLT",529,8,15,2013-01-04 08:00:00
2013,1,4,1014,1015,-1,1210,"Not Delay","US",1103,"N177US","EWR","CLT",529,10,15,2013-01-04 10:00:00
2013,1,4,1309,1315,-6,1505,"Not Delay","US",1615,"N560UW","EWR","CLT",529,13,15,2013-01-04 13:00:00
2013,1,4,1343,1218,85,1415,"Delay","EV",4641,"N21144","EWR","CLT",529,12,18,2013-01-04 12:00:00
2013,1,4,1458,1500,-2,1656,"Not Delay","US",720,"N555AY","EWR","CLT",529,15,0,2013-01-04 15:00:00
2013,1,4,1504,1507,-3,1704,"Delay","EV",4326,"N12540","EWR","CLT",529,15,7,2013-01-04 15:00:00
2013,1,4,1728,1730,-2,1926,"Not Delay","US",449,"N658AW","EWR","CLT",529,17,30,2013-01-04 17:00:00
2013,1,4,1823,1829,-6,2032,"Not Delay","US",1973,"N430US","EWR","CLT",529,18,29,2013-01-04 18:00:00
2013,1,4,1859,1900,-1,2105,"Not Delay","EV",4627,"N14543","EWR","CLT",529,19,0,2013-01-04 19:00:00
2013,1,5,458,500,-2,650,"Not Delay","US",1030,"N560UW","EWR","CLT",529,5,0,2013-01-05 05:00:00
2013,1,5,628,630,-2,833,"Not Delay","US",1019,"N438US","EWR","CLT",529,6,30,2013-01-05 06:00:00
2013,1,5,646,645,1,848,"Not Delay","US",926,"N540UW","EWR","CLT",529,6,45,2013-01-05 06:00:00
2013,1,5,811,815,-4,1016,"Not Delay","US",675,"N673AW","EWR","CLT",529,8,15,2013-01-05 08:00:00
2013,1,5,1014,1015,-1,1210,"Not Delay","US",1036,"N730US","EWR","CLT",529,10,15,2013-01-05 10:00:00
2013,1,5,1321,1315,6,1505,"Not Delay","US",1615,"N176UW","EWR","CLT",529,13,15,2013-01-05 13:00:00
2013,1,5,1458,1500,-2,1656,"Not Delay","US",720,"N174US","EWR","CLT",529,15,0,2013-01-05 15:00:00
2013,1,5,1726,1730,-4,1926,"Delay","US",449,"N677AW","EWR","CLT",529,17,30,2013-01-05 17:00:00
2013,1,5,1823,1829,-6,2032,"Not Delay","US",1973,"N433US","EWR","CLT",529,18,29,2013-01-05 18:00:00
2013,1,5,1900,1859,1,2104,"Not Delay","EV",4700,"N12900","EWR","CLT",529,18,59,2013-01-05 18:00:00
2013,1,6,458,500,-2,650,"Delay","US",1030,"N539UW","EWR","CLT",529,5,0,2013-01-06 05:00:00
2013,1,6,614,620,-6,835,"Not Delay","EV",4292,"N14902","EWR","CLT",529,6,20,2013-01-06 06:00:00
2013,1,6,622,630,-8,833,"Not Delay","US",1019,"N445US","EWR","CLT",529,6,30,2013-01-06 06:00:00
2013,1,6,639,645,-6,848,"Not Delay","US",926,"N769US","EWR","CLT",529,6,45,2013-01-06 06:00:00
2013,1,6,813,815,-2,1016,"Not Delay","US",675,"N656AW","EWR","CLT",529,8,15,2013-01-06 08:00:00
2013,1,6,1011,1015,-4,1210,"Not Delay","US",1036,"N117UW","EWR","CLT",529,10,15,2013-01-06 10:00:00
2013,1,6,1232,1232,0,1429,"Not Delay","EV",4135,"N13202","EWR","CLT",529,12,32,2013-01-06 12:00:00
2013,1,6,1314,1315,-1,1505,"Not Delay","US",1615,"N554UW","EWR","CLT",529,13,15,2013-01-06 13:00:00
