"year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib","time_hour"
2013,1,1,1,39.02,26.06,59.37,270,10.35702,NA,0,1012,10,2013-01-01 01:00:00
2013,1,1,2,39.02,26.96,61.63,250,8.05546,NA,0,1012.3,10,2013-01-01 02:00:00
2013,1,1,3,39.02,28.04,64.43,240,11.5078,NA,0,1012.5,10,2013-01-01 03:00:00
2013,1,1,4,39.92,28.04,62.21,250,12.65858,NA,0,1012.2,10,2013-01-01 04:00:00
2013,1,1,5,39.02,28.04,64.43,260,12.65858,NA,0,1011.9,10,2013-01-01 05:00:00
2013,1,1,6,37.94,28.04,67.21,240,11.5078,NA,0,1012.4,10,2013-01-01 06:00:00
2013,1,1,7,39.02,28.04,64.43,240,14.96014,NA,0,1012.2,10,2013-01-01 07:00:00
2013,1,1,8,39.92,28.04,62.21,250,10.35702,NA,0,1012.2,10,2013-01-01 08:00:00
2013,1,1,9,39.92,28.04,62.21,260,14.96014,NA,0,1012.7,10,2013-01-01 09:00:00
2013,1,1,10,41,28.04,59.65,260,13.80936,NA,0,1012.4,10,2013-01-01 10:00:00
2013,1,1,11,41,26.96,57.06,260,14.96014,NA,0,1011.4,10,2013-01-01 11:00:00
2013,1,1,13,39.2,28.4,69.67,330,16.11092,NA,0,NA,10,2013-01-01 13:00:00
2013,1,1,14,39.02,24.08,54.68,280,13.80936,NA,0,1010.8,10,2013-01-01 14:00:00
2013,1,1,15,37.94,24.08,57.04,290,9.20624,NA,0,1011.9,10,2013-01-01 15:00:00
2013,1,1,16,37.04,19.94,49.62,300,13.80936,20.71404,0,1012.1,10,2013-01-01 16:00:00
2013,1,1,17,35.96,19.04,49.83,330,11.5078,NA,0,1013.2,10,2013-01-01 17:00:00
2013,1,1,18,33.98,15.08,45.43,310,12.65858,25.31716,0,1014.1,10,2013-01-01 18:00:00
2013,1,1,19,33.08,12.92,42.84,320,10.35702,NA,0,1014.4,10,2013-01-01 19:00:00
2013,1,1,20,32,15.08,49.19,310,14.96014,NA,0,1015.2,10,2013-01-01 20:00:00
2013,1,1,21,30.02,12.92,48.48,320,18.41248,26.46794,0,1016,10,2013-01-01 21:00:00
2013,1,1,22,28.94,12.02,48.69,320,18.41248,25.31716,0,1016.5,10,2013-01-01 22:00:00
2013,1,1,23,28.04,10.94,48.15,310,16.11092,NA,0,1016.4,10,2013-01-01 23:00:00
2013,1,2,0,26.96,10.94,50.34,310,14.96014,25.31716,0,1016.3,10,2013-01-02 00:00:00
2013,1,2,1,26.06,10.94,52.25,330,12.65858,24.16638,0,1016.3,10,2013-01-02 01:00:00
2013,1,2,2,24.98,10.94,54.65,330,13.80936,NA,0,1017,10,2013-01-02 02:00:00
2013,1,2,3,24.08,8.96,51.93,320,14.96014,NA,0,1016.6,10,2013-01-02 03:00:00
2013,1,2,4,24.08,8.96,51.93,330,12.65858,NA,0,1016.9,10,2013-01-02 04:00:00
2013,1,2,5,24.08,8.96,51.93,330,6.90468,NA,0,1016.9,10,2013-01-02 05:00:00
2013,1,2,6,24.08,8.96,51.93,310,3.45234,NA,0,1017.2,10,2013-01-02 06:00:00
2013,1,2,7,24.98,10.04,52.5,300,6.90468,NA,0,1017.6,10,2013-01-02 07:00:00
2013,1,2,8,24.98,10.04,52.5,280,9.20624,NA,0,1018.5,10,2013-01-02 08:00:00
2013,1,2,9,26.96,10.04,48.36,290,11.5078,NA,0,1019,10,2013-01-02 09:00:00
2013,1,2,10,28.94,10.94,46.41,280,9.20624,NA,0,1018.5,10,2013-01-02 10:00:00
2013,1,2,11,30.92,12.02,44.92,300,14.96014,25.31716,0,1017.5,10,2013-01-02 11:00:00
2013,1,2,12,32,12.92,44.74,290,12.65858,23.0156,0,1017.1,10,2013-01-02 12:00:00
2013,1,2,13,33.98,12.92,41.33,290,16.11092,25.31716,0,1017.3,10,2013-01-02 13:00:00
2013,1,2,14,33.98,10.94,37.86,310,17.2617,26.46794,0,1017.8,10,2013-01-02 14:00:00
